ra,dec,RAdeg_OC,DECdeg_OC,freqc,w50,snr,flux,rms,distance,HImass,code
151.78711,26.1313,151.80676,26.09563,1391.71195,89,5.8,0.58,1.94,92.8,9.07,3
151.98486,26.36004,152.0289,26.33929,1362.20145,108,12.2,0.75,1.94,195.4,9.81,3
152.4525,27.09861,152.44499,27.105,1354.741176,289,5.8,1.11,2.5,211.8,10.07,5
152.49023,25.96522,152.48174,25.93889,1363.30009,148,5.9,0.23,1.78,191.5,9.27,3
152.55615,25.8201,152.55209,25.82878,1392.16971,77,10.1,0.54,3.23,91.3,9.02,3
152.55615,27.06996,,,1316.91337,67,6.4,0.86,4.35,368.6,10.5,4
152.73193,25.8201,152.74316,25.83106,1363.3306,111,14.1,1.08,4.69,191.4,9.95,3
153.07999,27.08972,153.07916,27.08889,1367.62456,88,5.5,1.6,2.38,176,10.04,1
153.75583,26.49611,153.75168,26.50056,1367.71237,396,7.2,1.42,2.21,169.2,9.98,5
153.85254,26.96528,153.89681,26.9683,1316.76078,124,9.1,0.82,3.19,369.2,10.39,3
153.94043,26.25601,153.93251,26.26057,1397.11356,108,17,0.8,1.1,74.8,9.01,3
154.02832,27.04902,154.01242,27.08782,1316.88285,134,10.1,0.84,2.84,368.7,10.4,3
154.2041,25.96522,154.17518,25.95381,1318.95804,352,15.8,0.67,1.08,360.3,10.28,2
154.29199,26.71445,154.32261,26.68366,1360.8892,115,24.7,1.97,1.43,200.2,10.25,3
154.31396,26.52669,154.29879,26.50189,1401.3555,115,16.2,0.66,1.17,60.9,8.75,3
154.33594,26.25601,,,1397.02201,122,12.8,0.4,1.02,75.1,9.04,4
154.42383,26.96528,154.43064,26.97796,1317.00492,85,10.1,0.82,2.45,368.2,10.39,3
154.46777,26.21443,154.47493,26.22513,1365.00907,102,6.1,0.47,1.18,185.3,9.56,3
154.48975,26.23522,,,1365.22269,115,6.8,0.2,1.66,184.6,9.16,4
154.63249,25.91389,154.63916,25.91333,1367.053745,194,8.1,1.11,2.17,171.4,9.89,5
154.70947,26.23522,154.68112,26.22332,1377.30765,140,6.7,55,1.76,141.9,9.4,3
154.90723,26.46417,154.91716,26.45178,1398.54789,112,17.2,0.75,1.21,70.1,8.93,3
154.9292,27.02808,154.94291,27.06434,1316.73026,92,10.9,0.89,2.9,369.3,10.42,3
155.03906,26.25601,155.06851,26.29648,1396.89994,112,17.6,0.68,1.22,75.5,8.95,3
155.19287,26.6101,155.18898,26.61569,1317.67631,127,16.4,4.33,4.78,365.5,11.4,3
155.19916,26.11028,155.19666,26.11167,1367.04541,15,11.6,0.26,2.09,178.1,9.29,1
155.21484,26.96528,155.26796,26.94013,1316.60819,89,7.7,0.45,2.6,369.8,10.5,3
155.31375,26.70361,155.31917,26.71083,1354.93097,94,6.9,1.25,3.12,221.9,9.98,1
155.4126,26.19364,,,1417.4993,118,12.9,1.35,1.8,9.1,7.54,4
155.43709,26.89806,155.4375,26.90055,1390.9319,95,7.5,1.06,2.43,95.4,9.4,1
155.45654,27.06996,155.45028,27.04557,1316.63871,81,10.9,0.78,5.37,369.7,10.37,3
155.50049,25.86154,155.50136,25.8726,1390.88798,195,14.7,1.78,1.77,95.6,9.57,3
155.50049,26.98621,155.48019,26.97472,1332.75199,108,11,0.5,1.9,305.8,10.01,3
155.50209,25.87667,155.50125,25.8725,1390.79117,167,13.5,1.52,1.77,95.9,9.6,1
155.52246,26.96528,155.51876 ,26.97272 ,1316.57767,86,18.2,1.26,1.93,370,10.58,3
